"District","Income Streams","Cohort","Year","Status","Values"
"Kanungu","Perennial Crop Income","2020","Base","RTV",40.13
"Kanungu","Perennial Crop Income","2020","Base","Control",61.2816422980357
"Kanungu","Seasonal Crop Income","2020","Base","RTV",47.38
"Kanungu","Seasonal Crop Income","2020","Base","Control",58.0029537734456
"Kanungu","Season1 Value","2020","Base","RTV",50.21
"Kanungu","Season1 Value","2020","Base","Control",61.6609274848619
"Kanungu","Season2 Value","2020","Base","RTV",79.04
"Kanungu","Season2 Value","2020","Base","Control",80.6434057007828
"Kanungu","Perennial Value","2020","Base","RTV",79.41
"Kanungu","Perennial Value","2020","Base","Control",166.58733089647
"Kanungu","Annual Agric Value","2020","Base","RTV",208.66
"Kanungu","Annual Agric Value","2020","Base","Control",308.891664082115
"Kanungu","Livestock Income","2020","Base","RTV",15.31
"Kanungu","Livestock Income","2020","Base","Control",28.8015064244572
"Kanungu","Livestock Income/ Production","2020","Base","RTV",18.62
"Kanungu","Livestock Income/ Production","2020","Base","Control",31.0308669325063
"Kanungu","Livestock Value","2020","Base","RTV",82.02
"Kanungu","Livestock Value","2020","Base","Control",127.555752473785
"Kanungu","PPI","2020","Base","RTV",29.01
"Kanungu","PPI","2020","Base","Control",29.64
"Rukungiri","Salaried Employment","2020","Base","RTV",9.57
"Rukungiri","Salaried Employment","2020","Base","Control",18.5201595037661
"Rukungiri","Self-Income / Business","2020","Base","RTV",42.42
"Rukungiri","Self-Income / Business","2020","Base","Control",23.1564761482794
"Rukungiri","Casual Labour Income","2020","Base","RTV",71.55
"Rukungiri","Casual Labour Income","2020","Base","Control",109.947939743022
"Rukungiri","Remit and Gifts Income","2020","Base","RTV",8.93
"Rukungiri","Remit and Gifts Income","2020","Base","Control",14.6411165263624
"Rukungiri","Rent Income","2020","Base","RTV",2.35
"Rukungiri","Rent Income","2020","Base","Control",8.05937084625609
"Rukungiri","Perennial Crop Income","2020","Base","RTV",37.93
"Rukungiri","Perennial Crop Income","2020","Base","Control",61.2816422980357
"Rukungiri","Seasonal Crop Income","2020","Base","RTV",17.18
"Rukungiri","Seasonal Crop Income","2020","Base","Control",58.0029537734456
"Rukungiri","Season1 Value","2020","Base","RTV",44.92
"Rukungiri","Season1 Value","2020","Base","Control",61.6609274848619
"Rukungiri","Season2 Value","2020","Base","RTV",71.51
"Rukungiri","Season2 Value","2020","Base","Control",80.6434057007828
"Rukungiri","Perennial Value","2020","Base","RTV",94.7
"Rukungiri","Perennial Value","2020","Base","Control",166.58733089647
"Rukungiri","Annual Agric Value","2020","Base","RTV",211.14
"Rukungiri","Annual Agric Value","2020","Base","Control",308.891664082115
"Rukungiri","Livestock Income","2020","Base","RTV",12.65
"Rukungiri","Livestock Income","2020","Base","Control",28.8015064244572
"Rukungiri","Livestock Income/ Production","2020","Base","RTV",14.58
"Rukungiri","Livestock Income/ Production","2020","Base","Control",31.0308669325063
"Rukungiri","Livestock Value","2020","Base","RTV",74
"Rukungiri","Livestock Value","2020","Base","Control",127.555752473785
"Rukungiri","PPI","2020","Base","RTV",31.67
"Rukungiri","PPI","2020","Base","Control",29.64
"Mitooma","Salaried Employment","2020","Base","RTV",23.53
"Mitooma","Salaried Employment","2020","Base","Control",14.3511216599035
"Mitooma","Self-Income / Business","2020","Base","RTV",37.87
"Mitooma","Self-Income / Business","2020","Base","Control",42.9798637164076
"Mitooma","Casual Labour Income","2020","Base","RTV",34.87
"Mitooma","Casual Labour Income","2020","Base","Control",37.5527141872751
"Mitooma","Remit and Gifts Income","2020","Base","RTV",9.03
"Mitooma","Remit and Gifts Income","2020","Base","Control",5.43603093178164
"Mitooma","Rent Income","2020","Base","RTV",2.53
"Mitooma","Rent Income","2020","Base","Control",0.976341780874359
"Mitooma","Perennial Crop Income","2020","Base","RTV",67.85
"Mitooma","Perennial Crop Income","2020","Base","Control",53.1724217134982
"Mitooma","Seasonal Crop Income","2020","Base","RTV",17.26
"Mitooma","Seasonal Crop Income","2020","Base","Control",14.0872827501723
"Mitooma","Season1 Value","2020","Base","RTV",44.15
"Mitooma","Season1 Value","2020","Base","Control",42.7828650179925
"Mitooma","Season2 Value","2020","Base","RTV",35.73
"Mitooma","Season2 Value","2020","Base","Control",35.0254957507082
"Mitooma","Perennial Value","2020","Base","RTV",147.85
"Mitooma","Perennial Value","2020","Base","Control",122.244851083378
"Mitooma","Annual Agric Value","2020","Base","RTV",227.73
"Mitooma","Annual Agric Value","2020","Base","Control",200.053211852079
"Mitooma","Livestock Income","2020","Base","RTV",21.67
"Mitooma","Livestock Income","2020","Base","Control",14.2018222188194
"Mitooma","Livestock Income/ Production","2020","Base","RTV",24.2
"Mitooma","Livestock Income/ Production","2020","Base","Control",15.2584028787995
"Mitooma","Livestock Value","2020","Base","RTV",124.73
"Mitooma","Livestock Value","2020","Base","Control",110.32156802695
"Mitooma","PPI","2020","Base","RTV",31.61
"Mitooma","PPI","2020","Base","Control",32.7
"Kagadi","Salaried Employment","2020","Base","RTV",0
"Kagadi","Salaried Employment","2020","Base","Control",14.3511216599035
"Kagadi","Self-Income / Business","2020","Base","RTV",9.83
"Kagadi","Self-Income / Business","2020","Base","Control",42.9798637164076
"Kagadi","Casual Labour Income","2020","Base","RTV",68.27
"Kagadi","Casual Labour Income","2020","Base","Control",37.5527141872751
"Kagadi","Remit and Gifts Income","2020","Base","RTV",0.99
"Kagadi","Remit and Gifts Income","2020","Base","Control",5.43603093178164
"Kagadi","Rent Income","2020","Base","RTV",4.93
"Kagadi","Rent Income","2020","Base","Control",0.976341780874359
"Kagadi","Perennial Crop Income","2020","Base","RTV",35.38
"Kagadi","Perennial Crop Income","2020","Base","Control",53.1724217134982
"Kagadi","Seasonal Crop Income","2020","Base","RTV",129.66
"Kagadi","Seasonal Crop Income","2020","Base","Control",14.0872827501723
"Kagadi","Season1 Value","2020","Base","RTV",131.47
"Kagadi","Season1 Value","2020","Base","Control",42.7828650179925
"Kagadi","Season2 Value","2020","Base","RTV",104.92
"Kagadi","Season2 Value","2020","Base","Control",35.0254957507082
"Kagadi","Perennial Value","2020","Base","RTV",61.8
"Kagadi","Perennial Value","2020","Base","Control",122.244851083378
"Kagadi","Annual Agric Value","2020","Base","RTV",298.19
"Kagadi","Annual Agric Value","2020","Base","Control",200.053211852079
"Kagadi","Livestock Income","2020","Base","RTV",7.44
"Kagadi","Livestock Income","2020","Base","Control",14.2018222188194
"Kagadi","Livestock Income/ Production","2020","Base","RTV",10.69
"Kagadi","Livestock Income/ Production","2020","Base","Control",15.2584028787995
"Kagadi","Livestock Value","2020","Base","RTV",53.51
"Kagadi","Livestock Value","2020","Base","Control",110.32156802695
"Kagadi","PPI","2020","Base","RTV",30.82
"Kagadi","PPI","2020","Base","Control",32.7
"Kanungu","Salaried Employment","2021","Base","RTV",8.07
"Kanungu","Salaried Employment","2021","Base","Control",9.62399316473001
"Kanungu","Self-Income / Business","2021","Base","RTV",27.81
"Kanungu","Self-Income / Business","2021","Base","Control",23.365003417635
"Kanungu","Casual Labour Income","2021","Base","RTV",47.41
"Kanungu","Casual Labour Income","2021","Base","Control",122.262200956938
"Kanungu","Remit and Gifts Income","2021","Base","RTV",2.1
"Kanungu","Remit and Gifts Income","2021","Base","Control",17.8755980861244
"Kanungu","Rent Income","2021","Base","RTV",1.75
"Kanungu","Rent Income","2021","Base","Control",2.12918660287081
"Kanungu","Perennial Crop Income","2021","Base","RTV",41.86
"Kanungu","Perennial Crop Income","2021","Base","Control",86.7786397812714
"Kanungu","Seasonal Crop Income","2021","Base","RTV",13.64
"Kanungu","Seasonal Crop Income","2021","Base","Control",76.2917532467532
"Kanungu","Season1 Value","2021","Base","RTV",76.88
"Kanungu","Season1 Value","2021","Base","Control",103.765345181135
"Kanungu","Season2 Value","2021","Base","RTV",28.09
"Kanungu","Season2 Value","2021","Base","Control",68.5982467532468
"Kanungu","Perennial Value","2021","Base","RTV",62.1
"Kanungu","Perennial Value","2021","Base","Control",182.726384142174
"Kanungu","Annual Agric Value","2021","Base","RTV",167.07
"Kanungu","Annual Agric Value","2021","Base","Control",355.089976076555
"Kanungu","Livestock Income","2021","Base","RTV",9.76
"Kanungu","Livestock Income","2021","Base","Control",32.2891326042379
"Kanungu","Livestock Income/ Production","2021","Base","RTV",15.13
"Kanungu","Livestock Income/ Production","2021","Base","Control",37.3335618591934
"Kanungu","Livestock Value","2021","Base","RTV",71.56
"Kanungu","Livestock Value","2021","Base","Control",190.199908407382
"Kanungu","PPI","2021","Base","RTV",29.05
"Kanungu","PPI","2021","Base","Control",29.96
"Rukungiri","Salaried Employment","2021","Base","RTV",21.92
"Rukungiri","Salaried Employment","2021","Base","Control",9.62399316473001
"Rukungiri","Self-Income / Business","2021","Base","RTV",47.53
"Rukungiri","Self-Income / Business","2021","Base","Control",23.365003417635
"Rukungiri","Casual Labour Income","2021","Base","RTV",24.59
"Rukungiri","Casual Labour Income","2021","Base","Control",122.262200956938
"Rukungiri","Remit and Gifts Income","2021","Base","RTV",14.03
"Rukungiri","Remit and Gifts Income","2021","Base","Control",17.8755980861244
"Rukungiri","Rent Income","2021","Base","RTV",3.6
"Rukungiri","Rent Income","2021","Base","Control",2.12918660287081
"Rukungiri","Perennial Crop Income","2021","Base","RTV",55.17
"Rukungiri","Perennial Crop Income","2021","Base","Control",86.7786397812714
"Rukungiri","Seasonal Crop Income","2021","Base","RTV",42.67
"Rukungiri","Seasonal Crop Income","2021","Base","Control",76.2917532467532
"Rukungiri","Season1 Value","2021","Base","RTV",82.89
"Rukungiri","Season1 Value","2021","Base","Control",103.765345181135
"Rukungiri","Season2 Value","2021","Base","RTV",71.47
"Rukungiri","Season2 Value","2021","Base","Control",68.5982467532468
"Rukungiri","Perennial Value","2021","Base","RTV",152.99
"Rukungiri","Perennial Value","2021","Base","Control",182.726384142174
"Rukungiri","Annual Agric Value","2021","Base","RTV",307.35
"Rukungiri","Annual Agric Value","2021","Base","Control",355.089976076555
"Rukungiri","Livestock Income","2021","Base","RTV",17.75
"Rukungiri","Livestock Income","2021","Base","Control",32.2891326042379
"Rukungiri","Livestock Income/ Production","2021","Base","RTV",21.43
"Rukungiri","Livestock Income/ Production","2021","Base","Control",37.3335618591934
"Rukungiri","Livestock Value","2021","Base","RTV",147.08
"Rukungiri","Livestock Value","2021","Base","Control",190.199908407382
"Rukungiri","PPI","2021","Base","RTV",32.48
"Rukungiri","PPI","2021","Base","Control",29.96
"Mitooma","Salaried Employment","2021","Base","RTV",9.8
"Mitooma","Salaried Employment","2021","Base","Control",28.408262454435
"Mitooma","Self-Income / Business","2021","Base","RTV",45.05
"Mitooma","Self-Income / Business","2021","Base","Control",40.3797965630967
"Mitooma","Casual Labour Income","2021","Base","RTV",41.6
"Mitooma","Casual Labour Income","2021","Base","Control",128.959455650061
"Mitooma","Remit and Gifts Income","2021","Base","RTV",5.38
"Mitooma","Remit and Gifts Income","2021","Base","Control",7.46300989411561
"Mitooma","Rent Income","2021","Base","RTV",4.82
"Mitooma","Rent Income","2021","Base","Control",4.65474743968061
"Mitooma","Perennial Crop Income","2021","Base","RTV",33.49
"Mitooma","Perennial Crop Income","2021","Base","Control",94.1654053115779
"Mitooma","Seasonal Crop Income","2021","Base","RTV",35.13
"Mitooma","Seasonal Crop Income","2021","Base","Control",18.702135045999
"Mitooma","Season1 Value","2021","Base","RTV",70.57
"Mitooma","Season1 Value","2021","Base","Control",63.2962735636174
"Mitooma","Season2 Value","2021","Base","RTV",51.48
"Mitooma","Season2 Value","2021","Base","Control",39.9880298559278
"Mitooma","Perennial Value","2021","Base","RTV",72.43
"Mitooma","Perennial Value","2021","Base","Control",302.173607359833
"Mitooma","Annual Agric Value","2021","Base","RTV",194.48
"Mitooma","Annual Agric Value","2021","Base","Control",405.457910779379
"Mitooma","Livestock Income","2021","Base","RTV",14.95
"Mitooma","Livestock Income","2021","Base","Control",12.8949487936122
"Mitooma","Livestock Income/ Production","2021","Base","RTV",16.64
"Mitooma","Livestock Income/ Production","2021","Base","Control",14.2669331713244
"Mitooma","Livestock Value","2021","Base","RTV",71.92
"Mitooma","Livestock Value","2021","Base","Control",117.436382919632
"Mitooma","PPI","2021","Base","RTV",29.46
"Mitooma","PPI","2021","Base","Control",27.63
"Rubanda","Salaried Employment","2021","Base","RTV",7.25
"Rubanda","Salaried Employment","2021","Base","Control",5.637827
"Rubanda","Self-Income / Business","2021","Base","RTV",14.93
"Rubanda","Self-Income / Business","2021","Base","Control",29.480282
"Rubanda","Casual Labour Income","2021","Base","RTV",55.89
"Rubanda","Casual Labour Income","2021","Base","Control",85.656338
"Rubanda","Remit and Gifts Income","2021","Base","RTV",12.63
"Rubanda","Remit and Gifts Income","2021","Base","Control",11.358551
"Rubanda","Rent Income","2021","Base","RTV",0.3
"Rubanda","Rent Income","2021","Base","Control",10.054728
"Rubanda","Perennial Crop Income","2021","Base","RTV",3.42
"Rubanda","Perennial Crop Income","2021","Base","Control",5.849688
"Rubanda","Seasonal Crop Income","2021","Base","RTV",77.32
"Rubanda","Seasonal Crop Income","2021","Base","Control",50.843078
"Rubanda","Season1 Value","2021","Base","RTV",120.25
"Rubanda","Season1 Value","2021","Base","Control",63.104829
"Rubanda","Season2 Value","2021","Base","RTV",98.67
"Rubanda","Season2 Value","2021","Base","Control",63.30334
"Rubanda","Perennial Value","2021","Base","RTV",15.17
"Rubanda","Perennial Value","2021","Base","Control",27.377284
"Rubanda","Annual Agric Value","2021","Base","RTV",234.08
"Rubanda","Annual Agric Value","2021","Base","Control",153.785453
"Rubanda","Livestock Income","2021","Base","RTV",9.95
"Rubanda","Livestock Income","2021","Base","Control",7.44974
"Rubanda","Livestock Income/ Production","2021","Base","RTV",11.64
"Rubanda","Livestock Income/ Production","2021","Base","Control",8.64652
"Rubanda","Livestock Value","2021","Base","RTV",63.3
"Rubanda","Livestock Value","2021","Base","Control",48.271242
"Rubanda","PPI","2021","Base","RTV",30.67
"Rubanda","PPI","2021","Base","Control",26.525634
"Kanungu","Salaried Employment","2022","Base","RTV",14.63
"Kanungu","Salaried Employment","2022","Base","Control",36.27
"Kanungu","Self-Income / Business","2022","Base","RTV",23.34
"Kanungu","Self-Income / Business","2022","Base","Control",47.06
"Kanungu","Casual Labour Income","2022","Base","RTV",80.39
"Kanungu","Casual Labour Income","2022","Base","Control",114.78
"Kanungu","Remit and Gifts Income","2022","Base","RTV",18.32
"Kanungu","Remit and Gifts Income","2022","Base","Control",17.38
"Kanungu","Rent Income","2022","Base","RTV",7.99
"Kanungu","Rent Income","2022","Base","Control",3.93
"Kanungu","Perennial Crop Income","2022","Base","RTV",71.14
"Kanungu","Perennial Crop Income","2022","Base","Control",58.24
"Kanungu","Seasonal Crop Income","2022","Base","RTV",33.03
"Kanungu","Seasonal Crop Income","2022","Base","Control",79.21
"Kanungu","Season1 Value","2022","Base","RTV",67.58
"Kanungu","Season1 Value","2022","Base","Control",123.3
"Kanungu","Season2 Value","2022","Base","RTV",57.49
"Kanungu","Season2 Value","2022","Base","Control",68.03
"Kanungu","Perennial Value","2022","Base","RTV",120.7
"Kanungu","Perennial Value","2022","Base","Control",149.52
"Kanungu","Annual Agric Value","2022","Base","RTV",245.77
"Kanungu","Annual Agric Value","2022","Base","Control",340.85
"Kanungu","Livestock Income","2022","Base","RTV",18.63
"Kanungu","Livestock Income","2022","Base","Control",27.55
"Kanungu","Livestock Income/ Production","2022","Base","RTV",23.24
"Kanungu","Livestock Income/ Production","2022","Base","Control",30.89
"Kanungu","Livestock Value","2022","Base","RTV",95.75
"Kanungu","Livestock Value","2022","Base","Control",212.66
"Kanungu","PPI","2022","Base","RTV",31
"Kanungu","PPI","2022","Base","Control",29.73
"Rukungiri","Salaried Employment","2022","Base","RTV",9.85
"Rukungiri","Salaried Employment","2022","Base","Control",36.27
"Rukungiri","Self-Income / Business","2022","Base","RTV",8.37
"Rukungiri","Self-Income / Business","2022","Base","Control",47.06
"Rukungiri","Casual Labour Income","2022","Base","RTV",52.02
"Rukungiri","Casual Labour Income","2022","Base","Control",114.78
"Rukungiri","Remit and Gifts Income","2022","Base","RTV",3.59
"Rukungiri","Remit and Gifts Income","2022","Base","Control",17.38
"Rukungiri","Rent Income","2022","Base","RTV",1.55
"Rukungiri","Rent Income","2022","Base","Control",3.93
"Rukungiri","Perennial Crop Income","2022","Base","RTV",37.41
"Rukungiri","Perennial Crop Income","2022","Base","Control",58.24
"Rukungiri","Seasonal Crop Income","2022","Base","RTV",25.54
"Rukungiri","Seasonal Crop Income","2022","Base","Control",79.21
"Rukungiri","Season1 Value","2022","Base","RTV",49.24
"Rukungiri","Season1 Value","2022","Base","Control",123.3
"Rukungiri","Season2 Value","2022","Base","RTV",40.89
"Rukungiri","Season2 Value","2022","Base","Control",68.03
"Rukungiri","Perennial Value","2022","Base","RTV",99.38
"Rukungiri","Perennial Value","2022","Base","Control",149.52
"Rukungiri","Annual Agric Value","2022","Base","RTV",189.5
"Rukungiri","Annual Agric Value","2022","Base","Control",340.85
"Rukungiri","Livestock Income","2022","Base","RTV",9.68
"Rukungiri","Livestock Income","2022","Base","Control",27.55
"Rukungiri","Livestock Income/ Production","2022","Base","RTV",10.78
"Rukungiri","Livestock Income/ Production","2022","Base","Control",30.89
"Rukungiri","Livestock Value","2022","Base","RTV",135.61
"Rukungiri","Livestock Value","2022","Base","Control",212.66
"Rukungiri","PPI","2022","Base","RTV",32.81
"Rukungiri","PPI","2022","Base","Control",29.73
"Mitooma","Salaried Employment","2022","Base","RTV",4.32
"Mitooma","Salaried Employment","2022","Base","Control",46.58
"Mitooma","Self-Income / Business","2022","Base","RTV",26.44
"Mitooma","Self-Income / Business","2022","Base","Control",73.93
"Mitooma","Casual Labour Income","2022","Base","RTV",50.56
"Mitooma","Casual Labour Income","2022","Base","Control",104.25
"Mitooma","Remit and Gifts Income","2022","Base","RTV",3.92
"Mitooma","Remit and Gifts Income","2022","Base","Control",34.84
"Mitooma","Rent Income","2022","Base","RTV",3.2
"Mitooma","Rent Income","2022","Base","Control",3.18
"Mitooma","Perennial Crop Income","2022","Base","RTV",55.64
"Mitooma","Perennial Crop Income","2022","Base","Control",74.68
"Mitooma","Seasonal Crop Income","2022","Base","RTV",15.46
"Mitooma","Seasonal Crop Income","2022","Base","Control",28.11
"Mitooma","Season1 Value","2022","Base","RTV",46.18
"Mitooma","Season1 Value","2022","Base","Control",60.3
"Mitooma","Season2 Value","2022","Base","RTV",39.27
"Mitooma","Season2 Value","2022","Base","Control",46.26
"Mitooma","Perennial Value","2022","Base","RTV",139.94
"Mitooma","Perennial Value","2022","Base","Control",226.06
"Mitooma","Annual Agric Value","2022","Base","RTV",225.4
"Mitooma","Annual Agric Value","2022","Base","Control",332.61
"Mitooma","Livestock Income","2022","Base","RTV",11.88
"Mitooma","Livestock Income","2022","Base","Control",14.32
"Mitooma","Livestock Income/ Production","2022","Base","RTV",14.54
"Mitooma","Livestock Income/ Production","2022","Base","Control",15.68
"Mitooma","Livestock Value","2022","Base","RTV",97.9
"Mitooma","Livestock Value","2022","Base","Control",108.41
"Mitooma","PPI","2022","Base","RTV",30.68
"Mitooma","PPI","2022","Base","Control",26.14
"Rubanda","Salaried Employment","2022","Base","RTV",28.06
"Rubanda","Salaried Employment","2022","Base","Control",23.156283
"Rubanda","Self-Income / Business","2022","Base","RTV",21.84
"Rubanda","Self-Income / Business","2022","Base","Control",16.987185
"Rubanda","Casual Labour Income","2022","Base","RTV",76.01
"Rubanda","Casual Labour Income","2022","Base","Control",87.977754
"Rubanda","Remit and Gifts Income","2022","Base","RTV",11.31
"Rubanda","Remit and Gifts Income","2022","Base","Control",15.257919
"Rubanda","Rent Income","2022","Base","RTV",2.41
"Rubanda","Rent Income","2022","Base","Control",6.778432
"Rubanda","Perennial Crop Income","2022","Base","RTV",12.31
"Rubanda","Perennial Crop Income","2022","Base","Control",8.011606
"Rubanda","Seasonal Crop Income","2022","Base","RTV",92.11
"Rubanda","Seasonal Crop Income","2022","Base","Control",63.29161
"Rubanda","Season1 Value","2022","Base","RTV",120.5
"Rubanda","Season1 Value","2022","Base","Control",129.452617
"Rubanda","Season2 Value","2022","Base","RTV",111.64
"Rubanda","Season2 Value","2022","Base","Control",119.184855
"Rubanda","Perennial Value","2022","Base","RTV",39.79
"Rubanda","Perennial Value","2022","Base","Control",9.786008
"Rubanda","Annual Agric Value","2022","Base","RTV",271.93
"Rubanda","Annual Agric Value","2022","Base","Control",258.423481
"Rubanda","Livestock Income","2022","Base","RTV",11.68
"Rubanda","Livestock Income","2022","Base","Control",1.8145
"Rubanda","Livestock Income/ Production","2022","Base","RTV",12.07
"Rubanda","Livestock Income/ Production","2022","Base","Control",2.080078
"Rubanda","Livestock Value","2022","Base","RTV",111.75
"Rubanda","Livestock Value","2022","Base","Control",58.658822
"Rubanda","PPI","2022","Base","RTV",28.47
"Rubanda","PPI","2022","Base","Control",26.010413
"Rubirizi","Salaried Employment","2022","Base","RTV",8.26
"Rubirizi","Salaried Employment","2022","Base","Control",46.58
"Rubirizi","Self-Income / Business","2022","Base","RTV",24.63
"Rubirizi","Self-Income / Business","2022","Base","Control",73.93
"Rubirizi","Casual Labour Income","2022","Base","RTV",67.61
"Rubirizi","Casual Labour Income","2022","Base","Control",104.25
"Rubirizi","Remit and Gifts Income","2022","Base","RTV",5.91
"Rubirizi","Remit and Gifts Income","2022","Base","Control",34.84
"Rubirizi","Rent Income","2022","Base","RTV",2.9
"Rubirizi","Rent Income","2022","Base","Control",3.18
"Rubirizi","Perennial Crop Income","2022","Base","RTV",61.73
"Rubirizi","Perennial Crop Income","2022","Base","Control",74.68
