"","District","Income Stream","Cohort","Year","Amount","Status"
"190","Kisoro","Self-Income / Business","2018","Base","102.85","RTV"
"191","Kanungu","Self-Income / Business","2018","Base","80.97","RTV"
"192","Kisoro","Self-Income / Business","2019","Base","65.319999999999993","RTV"
"193","Kanu","Self-Income / Business","2019","Base","100.99","RTV"
"194","Ruk","Self-Income / Business","2019","Base","90.62","RTV"
"195","Kisoro","Self-Income / Business","2020","Base","98.518255100000005","RTV"
"196","Kanu","Self-Income / Business","2020","Base","93.853583","RTV"
"197","Ruk","Self-Income / Business","2020","Base","72.995232999999999","RTV"
"198","Mitooma","Self-Income / Business","2020","Base","100.042523","RTV"
"199","Kagadi","Self-Income / Business","2020","Base","117.1129655","RTV"
"200","Kisoro","Self-Income / Business","2018","Base","110.55","RTV"
"201","Kanungu","Self-Income / Business","2018","Base","93.11","RTV"
"202","Kisoro","Self-Income / Business","2019","Base","70.540000000000006","RTV"
"203","Kanu","Self-Income / Business","2019","Base","106.98","RTV"
"204","Ruk","Self-Income / Business","2019","Base","100","RTV"
"205","Kisoro","Self-Income / Business","2018","Base",NA,"RTV"
"206","Kanungu","Self-Income / Business","2018","Base",NA,"RTV"
"207","Kisoro","Casual Labour Income","2018","Base","99.6","RTV"
"208","Kanungu","Casual Labour Income","2018","Base","0","RTV"
"209","Kisoro","Casual Labour Income","2019","Base","51.56","RTV"
"210","Kanu","Casual Labour Income","2019","Base","60.72","RTV"
"211","Ruk","Casual Labour Income","2019","Base","47.22","RTV"
"212","Kisoro","Casual Labour Income","2020","Base","61.84","RTV"
"213","Kanu","Casual Labour Income","2020","Base","81.5","RTV"
"214","Ruk","Casual Labour Income","2020","Base","71.55","RTV"
"215","Mit","Casual Labour Income","2020","Base","34.869999999999997","RTV"
"216","Kag","Casual Labour Income","2020","Base","68.27","RTV"
"217","Kanu","Casual Labour Income","2021","Base","47.41","RTV"
"218","Ruk","Casual Labour Income","2021","Base","24.59","RTV"
"219","Mit","Casual Labour Income","2021","Base","41.6","RTV"
"220","Rubanda","Casual Labour Income","2021","Base","55.89","RTV"
"221","Kanungu","Casual Labour Income","2022","Base","80.39","RTV"
"222","Rukungiri","Casual Labour Income","2022","Base","52.02","RTV"
"223","Mitooma","Casual Labour Income","2022","Base","50.56","RTV"
"224","Rubanda","Casual Labour Income","2022","Base","76.010000000000005","RTV"
"225","Rubirizi","Casual Labour Income","2022","Base","67.61","RTV"
"226","Kyenjojo","Casual Labour Income","2022","Base","66.91","RTV"
"227","Kagadi GAC","Casual Labour Income","2022","Base","44.54","RTV"
"228","Kagadi NonGAC","Casual Labour Income","2022","Base","71.48","RTV"
"229","Kaliro","Casual Labour Income","2022","Base","84.9","RTV"
"230","Kisoro","Casual Labour Income","2022","Base",NA,"RTV"
"231","Kisoro","Casual Labour Income","2018","Base","154.29","RTV"
"232","Kanungu","Casual Labour Income","2018","Base","157.83000000000001","RTV"
"233","Kisoro","Casual Labour Income","2019","Base","155.80000000000001","RTV"
"234","Kanu","Casual Labour Income","2019","Base","113.13","RTV"
"235","Ruk","Casual Labour Income","2019","Base","104.23","RTV"
"236","Kisoro","Casual Labour Income","2020","Base","170.82","RTV"
"237","Kanu","Casual Labour Income","2020","Base","131.47999999999999","RTV"
"238","Ruk","Casual Labour Income","2020","Base","173.04","RTV"
"239","Mitooma","Casual Labour Income","2020","Base","122.59","RTV"
"240","Kagadi","Casual Labour Income","2020","Base","64.61","RTV"
"241","Kanu","Casual Labour Income","2021","Base","71.849999999999994","RTV"
"242","Ruk","Casual Labour Income","2021","Base","96.4","RTV"
"243","Mit","Casual Labour Income","2021","Base","74.86","RTV"
"244","Rubanda","Casual Labour Income","2021","Base","59.73","RTV"
"245","Kanungu","Casual Labour Income","2022","Base","61.94","RTV"
"246","Rukungiri","Casual Labour Income","2022","Base","78.28","RTV"
"247","Mitooma","Casual Labour Income","2022","Base","63.94","RTV"
"248","Rubanda","Casual Labour Income","2022","Base","66.680000000000007","RTV"
"249","Rubirizi","Casual Labour Income","2022","Base","59.55","RTV"
"250","Kyenjojo","Casual Labour Income","2022","Base","55.2","RTV"
"251","Kagadi GAC","Casual Labour Income","2022","Base","34.130000000000003","RTV"
"252","Kagadi NonGAC","Casual Labour Income","2022","Base","52.58","RTV"
"253","Kaliro","Casual Labour Income","2022","Base","73.69","RTV"
"254","Kisoro","Casual Labour Income","2022","Base",NA,"RTV"
"255","Kisoro","Casual Labour Income","2018","Base","199.83","RTV"
"256","Kanungu","Casual Labour Income","2018","Base","123.43","RTV"
"257","Kisoro","Casual Labour Income","2019","Base","162.27000000000001","RTV"
"258","Kanu","Casual Labour Income","2019","Base","114.31","RTV"
"259","Ruk","Casual Labour Income","2019","Base","142.53","RTV"
"260","Kisoro","Casual Labour Income","2020","Base","104.93","RTV"
"261","Kanu","Casual Labour Income","2020","Base","90.41","RTV"
"262","Ruk","Casual Labour Income","2020","Base","116.87","RTV"
"263","Mitooma","Casual Labour Income","2020","Base","90.12","RTV"
"264","Kagadi","Casual Labour Income","2020","Base","122.75","RTV"
"265","Kanu","Casual Labour Income","2021","Base","69.67","RTV"
"266","Ruk","Casual Labour Income","2021","Base","84.12","RTV"
"267","Mit","Casual Labour Income","2021","Base","81.72","RTV"
"268","Rubanda","Casual Labour Income","2021","Base","52.68","RTV"
"269","Kanungu","Casual Labour Income","2022","Base","47.85","RTV"
"270","Rukungiri","Casual Labour Income","2022","Base","62.21","RTV"
"271","Mitooma","Casual Labour Income","2022","Base","54.93","RTV"
"272","Rubanda","Casual Labour Income","2022","Base","57.57","RTV"
"273","Rubirizi","Casual Labour Income","2022","Base","46.66","RTV"
"274","Kyenjojo","Casual Labour Income","2022","Base","46.12","RTV"
"275","Kagadi GAC","Casual Labour Income","2022","Base","30.24","RTV"
"276","Kagadi NonGAC","Casual Labour Income","2022","Base","40.159999999999997","RTV"
"277","Kaliro","Casual Labour Income","2022","Base","64.91","RTV"
"278","Kisoro","Casual Labour Income","2022","Base",NA,"RTV"
"279","Kisoro","Casual Labour Income","2018","Base","199.75","RTV"
"280","Kanungu","Casual Labour Income","2018","Base","141.09","RTV"
"281","Kisoro","Casual Labour Income","2019","Base","71.37","RTV"
"282","Kanu","Casual Labour Income","2019","Base","89.35","RTV"
"283","Ruk","Casual Labour Income","2019","Base","88.14","RTV"
"284","Kisoro","Casual Labour Income","2020","Base","90.86","RTV"
"285","Kanu","Casual Labour Income","2020","Base","66.739999999999995","RTV"
"286","Ruk","Casual Labour Income","2020","Base","109.76","RTV"
"287","Mitooma","Casual Labour Income","2020","Base","80.05","RTV"
"288","Kagadi","Casual Labour Income","2020","Base","92.28","RTV"
"289","Kanu","Casual Labour Income","2021","Base","58.315219999999997","RTV"
"290","Ruk","Casual Labour Income","2021","Base","71.676015640000003","RTV"
"291","Mit","Casual Labour Income","2021","Base","50.96682689","RTV"
"292","Rubanda","Casual Labour Income","2021","Base","47.062964999999998","RTV"
"293","Kisoro","Casual Labour Income","2018","Base","88.09","RTV"
"294","Kanungu","Casual Labour Income","2018","Base","102.55","RTV"
"295","Kisoro","Casual Labour Income","2019","Base","68.41","RTV"
"296","Kanu","Casual Labour Income","2019","Base","74.069999999999993","RTV"
"297","Ruk","Casual Labour Income","2019","Base","84.82","RTV"
"298","Kisoro","Casual Labour Income","2020","Base","71.589284000000006","RTV"
"299","Kanu","Casual Labour Income","2020","Base","83.902027000000004","RTV"
"300","Ruk","Casual Labour Income","2020","Base","78.280097999999995","RTV"
"301","Mitooma","Casual Labour Income","2020","Base","62.480721000000003","RTV"
"302","Kagadi","Casual Labour Income","2020","Base","71.849545399999997","RTV"
"303","Kisoro","Casual Labour Income","2018","Base","83.9","RTV"
"304","Kanungu","Casual Labour Income","2018","Base","88.62","RTV"
"305","Kisoro","Casual Labour Income","2019","Base","65.02","RTV"
"306","Kanu","Casual Labour Income","2019","Base","71.89","RTV"
"307","Ruk","Casual Labour Income","2019","Base","62.81","RTV"
"308","Kisoro","Casual Labour Income","2018","Base",NA,"RTV"
"309","Kanungu","Casual Labour Income","2018","Base",NA,"RTV"
"310","Kisoro","Remit and Gifts Income","2018","Base","0","RTV"
"311","Kanungu","Remit and Gifts Income","2018","Base","0","RTV"
"312","Kisoro","Remit and Gifts Income","2019","Base","4.78","RTV"
"313","Kanu","Remit and Gifts Income","2019","Base","6.14","RTV"
"314","Ruk","Remit and Gifts Income","2019","Base","5.47","RTV"
"315","Kisoro","Remit and Gifts Income","2020","Base","2.27","RTV"
"316","Kanu","Remit and Gifts Income","2020","Base","18.579999999999998","RTV"
"317","Ruk","Remit and Gifts Income","2020","Base","8.93","RTV"
"318","Mit","Remit and Gifts Income","2020","Base","9.0299999999999994","RTV"
"319","Kag","Remit and Gifts Income","2020","Base","0.99","RTV"
"320","Kanu","Remit and Gifts Income","2021","Base","2.1","RTV"
"321","Ruk","Remit and Gifts Income","2021","Base","14.03","RTV"
"322","Mit","Remit and Gifts Income","2021","Base","5.38","RTV"
"323","Rubanda","Remit and Gifts Income","2021","Base","12.63","RTV"
"324","Kanungu","Remit and Gifts Income","2022","Base","18.32","RTV"
"325","Rukungiri","Remit and Gifts Income","2022","Base","3.59","RTV"
"326","Mitooma","Remit and Gifts Income","2022","Base","3.92","RTV"
"327","Rubanda","Remit and Gifts Income","2022","Base","11.31","RTV"
"328","Rubirizi","Remit and Gifts Income","2022","Base","5.91","RTV"
"329","Kyenjojo","Remit and Gifts Income","2022","Base","6.03","RTV"
"330","Kagadi GAC","Remit and Gifts Income","2022","Base","6.34","RTV"
"331","Kagadi NonGAC","Remit and Gifts Income","2022","Base","4.87","RTV"
"332","Kaliro","Remit and Gifts Income","2022","Base","8.1","RTV"
"333","Kisoro","Remit and Gifts Income","2022","Base",NA,"RTV"
"334","Kisoro","Remit and Gifts Income","2018","Base","15.88","RTV"
"335","Kanungu","Remit and Gifts Income","2018","Base","20.58","RTV"
"336","Kisoro","Remit and Gifts Income","2019","Base","15.43","RTV"
"337","Kanu","Remit and Gifts Income","2019","Base","20.85","RTV"
"338","Ruk","Remit and Gifts Income","2019","Base","11.51","RTV"
"339","Kisoro","Remit and Gifts Income","2020","Base","21.63","RTV"
"340","Kanu","Remit and Gifts Income","2020","Base","11.79","RTV"
"341","Ruk","Remit and Gifts Income","2020","Base","14.58","RTV"
"342","Mitooma","Remit and Gifts Income","2020","Base","11.56","RTV"
"343","Kagadi","Remit and Gifts Income","2020","Base","1.77","RTV"
"344","Kanu","Remit and Gifts Income","2021","Base","29.66","RTV"
"345","Ruk","Remit and Gifts Income","2021","Base","36.299999999999997","RTV"
"346","Mit","Remit and Gifts Income","2021","Base","39.39","RTV"
"347","Rubanda","Remit and Gifts Income","2021","Base","27.22","RTV"
"348","Kanungu","Remit and Gifts Income","2022","Base","41.23","RTV"
"349","Rukungiri","Remit and Gifts Income","2022","Base","32.4","RTV"
"350","Mitooma","Remit and Gifts Income","2022","Base","51.02","RTV"
"351","Rubanda","Remit and Gifts Income","2022","Base","53.58","RTV"
"352","Rubirizi","Remit and Gifts Income","2022","Base","38.24","RTV"
"353","Kyenjojo","Remit and Gifts Income","2022","Base","13.91","RTV"
"354","Kagadi GAC","Remit and Gifts Income","2022","Base","12.76","RTV"
"355","Kagadi NonGAC","Remit and Gifts Income","2022","Base","15.54","RTV"
"356","Kaliro","Remit and Gifts Income","2022","Base","20.07","RTV"
"357","Kisoro","Remit and Gifts Income","2022","Base",NA,"RTV"
"358","Kisoro","Remit and Gifts Income","2018","Base","21.56","RTV"
"359","Kanungu","Remit and Gifts Income","2018","Base","15.53","RTV"
"360","Kisoro","Remit and Gifts Income","2019","Base","13.11","RTV"
"361","Kanu","Remit and Gifts Income","2019","Year 1","9.86","RTV"
"362","Ruk","Remit and Gifts Income","2019","Year 1","13.9","RTV"
"363","Kisoro","Remit and Gifts Income","2020","Year 1","30.94","RTV"
"364","Kanu","Remit and Gifts Income","2020","Year 1","28.7","RTV"
"365","Ruk","Remit and Gifts Income","2020","Year 1","30.15","RTV"
"366","Mitooma","Remit and Gifts Income","2020","Year 1","42.01","RTV"
"367","Kagadi","Remit and Gifts Income","2020","Year 1","14.93","RTV"
"368","Kanu","Remit and Gifts Income","2021","Year 1","37.39","RTV"
"369","Ruk","Remit and Gifts Income","2021","Year 1","41.87","RTV"
"370","Mit","Remit and Gifts Income","2021","Year 1","35.130000000000003","RTV"
"371","Rubanda","Remit and Gifts Income","2021","Year 1","33.9","RTV"
"372","Kanungu","Remit and Gifts Income","2022","Year 1","47.12","RTV"
"373","Rukungiri","Remit and Gifts Income","2022","Year 1","39.090000000000003","RTV"
"374","Mitooma","Remit and Gifts Income","2022","Year 1","69.16","RTV"
"375","Rubanda","Remit and Gifts Income","2022","Year 1","37.82","RTV"
"376","Rubirizi","Remit and Gifts Income","2022","Year 1","42.81","RTV"
"377","Kyenjojo","Remit and Gifts Income","2022","Year 1","18.71","RTV"
"378","Kagadi GAC","Remit and Gifts Income","2022","Year 1","17.5","RTV"
"379","Kagadi NonGAC","Remit and Gifts Income","2022","Year 1","20.059999999999999","RTV"
"380","Kaliro","Remit and Gifts Income","2022","Year 1","37.380000000000003","RTV"
"381","Kisoro","Remit and Gifts Income","2022","Year 1",NA,"RTV"
"382","Kisoro","Remit and Gifts Income","2018","Year 1","25.12","RTV"
"383","Kanungu","Remit and Gifts Income","2018","Year 1","6.14","RTV"
"384","Kisoro","Remit and Gifts Income","2019","Year 1","38.04","RTV"
"385","Kanu","Remit and Gifts Income","2019","Year 1","26.41","RTV"
"386","Ruk","Remit and Gifts Income","2019","Year 1","29.24","RTV"
"387","Kisoro","Remit and Gifts Income","2020","Year 1","33.15","RTV"
"388","Kanu","Remit and Gifts Income","2020","Year 1","34.119999999999997","RTV"
"389","Ruk","Remit and Gifts Income","2020","Year 1","45.83","RTV"
"390","Mitooma","Remit and Gifts Income","2020","Year 1","47.28","RTV"
"391","Kagadi","Remit and Gifts Income","2020","Year 1","10.039999999999999","RTV"
"392","Kanu","Remit and Gifts Income","2021","Year 1","39.666240000000002","RTV"
"393","Ruk","Remit and Gifts Income","2021","Year 1","44.323899369999999","RTV"
"394","Mit","Remit and Gifts Income","2021","Year 1","39.09726053","RTV"
"395","Rubanda","Remit and Gifts Income","2021","Year 1","36.059260999999999","RTV"
"396","Kisoro","Remit and Gifts Income","2018","Year 1","36.25","RTV"
"397","Kanungu","Remit and Gifts Income","2018","Year 1","22.78","RTV"
"398","Kisoro","Remit and Gifts Income","2019","Year 1","31.93","RTV"
"399","Kanu","Remit and Gifts Income","2019","Year 1","33.04","RTV"
"400","Ruk","Remit and Gifts Income","2019","Year 1","28.09","RTV"
"401","Kisoro","Remit and Gifts Income","2020","Year 1","33.837126599999998","RTV"
"402","Kanu","Remit and Gifts Income","2020","Year 1","35.257249000000002","RTV"
"403","Ruk","Remit and Gifts Income","2020","Year 1","49.956530000000001","RTV"
"404","Mitooma","Remit and Gifts Income","2020","Year 1","24.225946","RTV"
"405","Kagadi","Remit and Gifts Income","2020","Year 1","15.45273384","RTV"
"406","Kisoro","Remit and Gifts Income","2018","Year 1","34.22","RTV"
"407","Kanungu","Remit and Gifts Income","2018","Year 1","25.78","RTV"
"408","Kisoro","Remit and Gifts Income","2019","Year 1","23.15","RTV"
"409","Kanu","Remit and Gifts Income","2019","Year 1","44.29","RTV"
